Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Will Benson","CIN",43,185,161,35,20,7,1,6,24,20,21,0,64,2,1,0,,7,2,0.214429,0.113195,0.347058,0.326156,0.310716,0.386694,0.30937,0.69741,0.172265,6.35461,0.310759,0.0831367,0.329286,20.6788,-0.710068,89.6546,0.412423,2.71537,-1.8259005844593048,1.250555157661438,0.565941,686.0499877929688,,,,,,,194.1,4.513953488,194.1,4.513953488,,,,,,,,,,,,,,,,,,,"Will Benson","21853",666181
"Max Kepler","PHI",55,240,215,53,34,11,1,8,29,29,20,0,46,2,2,0,,1,0,0.246339,0.0852688,0.193795,0.439994,0.316694,0.410879,0.319191,0.727573,0.16454,3.34945,0.278339,-0.359555,-0.243309,28.6417,0.962026,102.32,-0.602864,0.145705,0.046606600284576416,-2.4209611266851425,0.563039,347.260009765625,,,,,,,262.5,4.772727272,262.5,4.772727272,,,,,,,,,,,,,,,,,,,"Max Kepler","12144",596146
"José Caballero","TBR",33,142,126,28,19,6,1,3,17,13,11,0,37,3,1,1,,13,3,0.225844,0.0793101,0.258018,0.307382,0.303973,0.34634,0.291317,0.650313,0.120496,7.11664,0.293995,0.841113,0.975886,13.7702,-2.58596,88.9139,1.817,0.296444,0.024435043334960938,0.6464444696903229,0.558703,327.0899963378906,,,,,,,140.4,4.254545454,140.4,4.254545454,,,,,,,,,,,,,,,,,,,"Jose Caballero","23401",676609
"Agustín Ramírez","MIA",73,304,275,65,39,15,1,10,34,38,24,1,64,2,2,0,,7,1,0.23508,0.0797967,0.209404,0.381066,0.300812,0.406375,0.308811,0.707187,0.171295,4.64555,0.267662,0.0419975,0.413291,33.833,-1.30212,93.166,0.455289,-0.538559,-1.973574846982956,-2.542571187019348,0.558587,437.8900146484375,,,,,,,320.7,4.393150684,320.7,4.393150684,,,,,,,,,,,,,,,,,,,"Agustin Ramirez","26546",682663
"Carlos Santana","CLE",69,297,260,59,38,11,0,10,33,34,34,1,51,2,2,0,,2,0,0.229234,0.11311,0.172321,0.656395,0.320613,0.38688,0.313333,0.707493,0.157647,2.75054,0.24791,-0.640924,-0.18426,34.1516,-0.198341,101.546,-0.825184,1.17175,-0.3003607988357544,-4.2165207862854,0.557579,353.5799865722656,,,,,,,308.1,4.465217391,308.1,4.465217391,,,,,,,,,,,,,,,,,,,"Carlos Santana","2396",467793
"Hyeseong Kim","LAD",46,197,181,45,33,8,1,3,24,20,13,0,37,1,1,0,,8,2,0.249849,0.066303,0.188145,0.352404,0.303464,0.359291,0.293163,0.662755,0.109441,6.45995,0.296957,0.425898,0.676838,19.4795,-3.31227,86.8291,1.10274,0.132615,-1.9338324069976807,0.8627080172300339,0.555466,487.30999755859375,,,,,,,179.7,3.906521739,179.7,3.906521739,,,,,,,,,,,,,,,,,,,"Hyeseong Kim","35322",808975
"Jonny DeLuca","TBR",32,138,125,30,19,6,1,4,16,15,10,0,27,2,1,0,,6,1,0.2382,0.0710069,0.198586,0.357563,0.301412,0.389361,0.303381,0.690774,0.151162,6.69827,0.276646,0.191127,0.439423,14.7474,-1.1894,97.3573,0.63055,0.404175,0.21420228481292725,0.5338043868541718,0.554179,359.5799865722656,,,,,,,148.3,4.634375,148.3,4.634375,,,,,,,,,,,,,,,,,,,"Jonny DeLuca","26365",676356
"Daniel Schneemann","CLE",54,234,207,47,30,10,1,6,24,24,24,0,66,1,2,1,,3,1,0.226865,0.101318,0.283385,0.357527,0.306192,0.373562,0.301578,0.679754,0.146697,4.53514,0.30097,-0.434352,-0.163372,24.6943,-2.35628,93.3184,-0.597724,-0.708703,-2.3845081329345703,-0.11148041486740112,0.54935,723.2000122070312,,,,,,,225.2,4.17037037,225.2,4.17037037,,,,,,,,,,,,,,,,,,,"Daniel Schneemann","25180",682177
"Gavin Lux","CIN",59,254,226,58,39,12,1,6,31,27,26,0,56,1,1,0,,3,1,0.256483,0.100848,0.219427,0.459599,0.333218,0.397563,0.32326,0.730782,0.14108,4.68127,0.314855,0.0332994,-0.151348,31.2039,1.84666,99.155,-0.118049,-0.167889,-0.36899495869874954,-2.734556019306183,0.536343,329.2300109863281,,,,,,,279.6,4.73898305,279.6,4.73898305,,,,,,,,,,,,,,,,,,,"Gavin Lux","19955",666158
"Yoán Moncada","LAA",49,213,190,46,30,10,1,5,23,22,20,0,59,1,1,0,,1,0,0.239893,0.0929543,0.276796,0.335822,0.314535,0.384461,0.309234,0.698996,0.144568,3.79445,0.316585,-0.256201,-0.19137,23.774,-0.840189,95.6933,-0.447571,-0.409116,-1.4955209791660309,-0.4878200888633728,0.52978,529.9299926757812,,,,,,,214.2,4.371428571,214.2,4.371428571,,,,,,,,,,,,,,,,,,,"Yoan Moncada","17232",660162
