Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Adam Cimber",,1.23766,1.11732,0,4.91152,18.0861,0,0.332527,2.01081,0.555537,17.646,76.7245,17.3894,10.4672,9.62985,2.03226,5.971,0.536426,2.01424,13.5898,6.9312,3.04539,2.27597,1.03651,0.177124,0.0778238,0.09930052608251572,0.252976,1.32383,0.289118,0.628468,,,4.48097,-0.0365537,-0.0642803,999,1.34644,1.59424,1.12472,1.34644,-1.59424,3.50038,76.40000000000002,4.244444444444445,76,4.222222222222222,,,,,,,,,,,,,,,,,,,"Adam Cimber","15288",643256
"Nick Sandlin","TOR",4.45635,3.24417,0,4.00877,58.4825,0.197804,0.0979714,11.6123,1.95692,57.4641,244.531,47.5266,27.8213,25.5956,8.29866,26.0907,1.50365,3.69269,62.0658,9.72072,4.08631,2.37885,1.29973,0.253816,0.106697,0.1471191942691803,0.221314,1.2811,0.271694,0.738654,,,4.4386,-0.0365866,0.105892,749.5,2.18628,0.379522,0.45967,2.18628,-0.379522,4.38711,280.59999999999997,4.922807017543859,263,4.614035087719298,,,,,,,,,,,,,,,,,,,"Nick Sandlin","20517",680704
"Tyler Gilbert","CHW",1.4564,2.76497,0,4.51845,38.7683,0.496052,0.17357,4.94517,0.403854,45.1361,195.341,47.575,24.6311,22.6606,6.11068,14.3218,0.643175,2.09776,38.5195,7.68066,2.85571,2.68958,1.21845,0.197191,0.0733168,0.12387442588806152,0.265899,1.37134,0.308765,0.698621,,,4.31098,-0.0379646,-0.1605,999,3.52065,-1.20744,0.709722,3.52065,1.20744,4.0537,184.39999999999998,4.097777777777777,197,4.377777777777778,,,,,,,,,,,,,,,,,,,"Tyler Gilbert","17964",656457
"Tanner Gordon","COL",1.26721,1.97123,0.63908,5.14153,20.7798,1.89459,0,1.0012,0,30.0759,131.688,34.7866,18.6759,17.1818,5.28443,8.22135,0.478175,1.15877,22.3715,6.69451,2.46018,2.72115,1.58133,0.169883,0.0624307,0.10745244473218918,0.284419,1.42998,0.311692,0.683298,,,4.89859,-0.0382719,-0.00157988,999,1.65669,-1.352,0.840508,1.65669,1.352,3.87932,90.5,3.0166666666666666,106,3.533333333333333,,,,,,,,,,,,,,,,,,,"Tanner Gordon","27669",685299
"Mike Baumann",,1.84696,0.503063,0,4.65509,20.6162,0.255792,0,2.86262,1.06965,23.6239,103.577,22.4274,13.2816,12.219,2.82342,11.1036,0.467293,1.30047,22.2185,8.46457,4.23015,2.00101,1.07564,0.214512,0.107202,0.1073099821805954,0.245988,1.41937,0.296442,0.684607,,,4.41436,-0.0383751,-0.0089974,999,1.29725,0.320761,0.929178,1.29725,-0.320761,3.7611,103.50000000000001,4.312500000000001,101,4.208333333333333,,,,,,,,,,,,,,,,,,,"Mike Baumann","20206",657508
"Jairo Iriarte","CHW",1.38215,2.00194,0.38789,4.90234,17.3883,3.17859,0,2.11329,0,32.0258,142.169,31.064,18.9615,17.4446,4.16524,15.8331,0,2.07723,27.7257,7.79158,4.44948,1.75112,1.17053,0.195019,0.111368,0.08365107327699661,0.249994,1.46435,0.291213,0.680265,,,4.80353,-0.0385771,-0.0712904,750.4600219726562,2.26116,0.763158,0.776212,2.26116,-0.763158,3.96505,117.00000000000003,3.656250000000001,118,3.6875,,,,,,,,,,,,,,,,,,,"Jairo Iriarte","26907",683568
"Carson Fulmer","LAA",0.450515,1.1945,0.379846,4.20877,11.2907,1.41076,0,0.755351,0.427096,21.6397,94.8064,19.9835,10.9996,10.1196,2.80367,10.5577,0.683211,1.29372,19.4582,8.09271,4.39097,1.84304,1.16605,0.205241,0.11136,0.09388099610805511,0.240895,1.41135,0.28306,0.734204,,,4.69541,-0.0389489,0.156548,999,1.33536,0.471776,1.12943,1.33536,-0.471776,3.4941,79.9,3.6318181818181823,77,3.5,,,,,,,,,,,,,,,,,,,"Carson Fulmer","18311",608334
"Brendon Little","TOR",2.00851,2.34697,0,3.88123,50.7079,0,0.0454485,7.79776,5.50182,50.5877,219.956,47.2715,23.7129,21.8158,5.15092,22.4334,1.25904,3.04113,42.8612,7.62539,3.99109,1.9106,0.916394,0.194862,0.10199,0.09287238121032715,0.243064,1.3779,0.287572,0.735948,,,4.30634,-0.0399983,0.205627,999,2.41418,-0.0533474,0.775645,2.41418,0.0533474,3.96581,236.70000000000005,4.641176470588237,233,4.568627450980392,,,,,,,,,,,,,,,,,,,"Brendon Little","21574",663893
"Eric Cerantola","KCR",0.910902,0.899721,0,4.5785,13.1913,0,0,1.07486,0,13.5604,60.5081,12.7151,7.49836,6.89849,1.5585,7.45225,0,0.879914,12.9663,8.60567,4.94602,1.73992,1.03437,0.21429,0.123161,0.09112899005413055,0.243696,1.48722,0.296315,0.704401,,,4.59153,-0.0405919,0.0299262,999,0.888437,-1.55333,1.15509,0.888437,1.55333,3.45988,51.20000000000003,3.6571428571428592,50,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Eric Cerantola","sa3017914",672021
"Shintaro Fujinami",,0.8837,1.26344,0.00172705,4.66919,16.0001,0.14167,0.129051,1.06107,0.627094,16.9322,74.142,14.4317,9.54826,8.7844,1.96725,9.34504,0.145079,1.09264,18.2133,9.68098,4.96719,1.94899,1.04565,0.245655,0.126042,0.11961247026920319,0.226542,1.40423,0.286383,0.676818,,,4.37486,-0.040922,-0.194461,999,2.59143,-1.15276,1.1036,2.59143,1.15276,3.52853,74.80000000000001,4.4,69,4.0588235294117645,,,,,,,,,,,,,,,,,,,"Shintaro Fujinami","31839",660261
"Hunter Strickland","LAA",1.14736,1.07344,0,4.43292,25.138,0,0.357708,3.03201,1.12091,25.9111,110.631,23.4193,13.8722,12.7624,3.79341,10.4614,0.406217,1.34907,21.7636,7.5594,3.63366,2.08038,1.31761,0.196722,0.0945607,0.10216154903173447,0.236988,1.30757,0.267881,0.700334,,,4.75724,-0.0419883,-0.0613626,999,1.48546,0.0411487,1.05824,1.48546,-0.0411487,3.58901,106.39999999999999,4.092307692307692,101,3.8846153846153846,,,,,,,,,,,,,,,,,,,"Hunter Strickland","7836",519326
"Geoff Hartlieb","NYY",0.520866,0.478248,0,4.6031,10.7127,0,0,0.813359,0,11.6635,50.8201,11.5537,6.48409,5.96537,1.53069,4.76104,0.485072,0.56451,9.87119,7.61698,3.6738,2.07332,1.18114,0.194238,0.0936843,0.1005537360906601,0.253958,1.39878,0.293993,0.693677,,,4.5497,-0.0427137,0.0256511,999,1.28422,-3.05116,1.25095,1.28422,3.05116,3.33207,39.000000000000014,3.2500000000000013,40,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Geoff Hartlieb","19558",664129
"Mason Englert","TBR",2.55803,2.02077,0,4.6091,36.0983,0.288638,0.0207653,3.96344,1.1672,44.7325,191.035,45.1737,24.9006,22.9085,7.04193,13.5577,1.10913,2.1315,39.3868,7.92446,2.72776,2.90512,1.41681,0.206176,0.07097,0.13520611822605133,0.257627,1.31295,0.295786,0.692224,,,4.50419,-0.043131,-0.160374,999,2.4235,-1.10569,0.659195,2.4235,1.10569,4.12107,175.89999999999998,3.9088888888888884,180,4,,,,,,,,,,,,,,,,,,,"Mason Englert","22288",669438
