Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Blaine Crim","TEX",10,44,39,9,6,2,0,1,5,5,3,0,9,1,0,0,,0,0,0.237539,0.0764286,0.21121,0.361861,0.303807,0.375695,0.300706,0.679502,0.138156,3.09472,0.278812,-0.0494612,-0.0473545,4.57776,-0.450686,92.7595,-0.0968157,0.00767221,-0.453216977417469,-0.8738092551939189,0.012816,999,,,,,,,38.6,3.86,38.6,3.86,,,,,,,,,,,,,,,,,,,"Blaine Crim","25714",688760
"Travis Jankowski","TBR",6,24,22,5,4,1,0,0,3,2,2,0,5,0,0,0,,1,0,0.233438,0.0915641,0.201452,0.454522,0.307997,0.285034,0.272325,0.593031,0.051596,5.65877,0.29676,0.0264619,0.0986939,2.01445,-0.804074,76.8019,0.125156,0.00622554,-0.5148905813694,-0.18559543881565332,0.011689,750.739990234375,,,,,,,16.8,2.8,16.8,2.8,,,,,,,,,,,,,,,,,,,"Travis Jankowski","13768",608671
"Matt Duffy",,5,20,18,4,3,1,0,0,2,2,1,0,4,0,0,0,,0,0,0.240754,0.0704289,0.206055,0.341796,0.305392,0.331263,0.287164,0.636654,0.0905083,2.23296,0.296463,-0.0370612,-0.0419105,1.84223,-0.412589,81.6662,-0.0789717,-0.115868,-0.49231500178575516,-0.046115338802337646,0.0114496,999,,,,,,,10.3,2.06,10.3,2.06,,,,,,,,,,,,,,,,,,,"Matt Duffy","13836",622110
"Austin Hedges","CLE",35,140,125,23,16,4,0,3,12,12,9,0,41,2,1,2,,1,0,0.180605,0.0669327,0.295753,0.226313,0.246496,0.277544,0.23802,0.524039,0.0969389,3.58691,0.24103,-0.150683,0.0190074,7.7082,-8.4102,49.8379,-0.131676,0.771006,-8.046376764774323,3.4978577494621277,0.0104287,747.97998046875,,,,,,,78.5,2.242857142,78.5,2.242857142,,,,,,,,,,,,,,,,,,,"Austin Hedges","12976",595978
"Nick Loftin","KCR",1,5,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.246625,0.0875013,0.157732,0.554745,0.315013,0.315995,0.286279,0.631008,0.0693702,3.77853,0.287777,-0.0025102,-0.00845755,0.449026,-0.104702,78.1167,-0.0109677,0.0473302,-0.1295844940468669,0.06445978581905365,0.00983366,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
"Dustin Harris","TEX",11,48,44,10,7,2,0,1,5,4,4,0,12,0,0,0,,2,0,0.224285,0.0809854,0.257483,0.314528,0.293737,0.344545,0.283905,0.638282,0.12026,5.73032,0.290067,0.0762906,0.0842288,4.43927,-1.14789,80.9274,0.160519,-0.0175497,-0.882613867521286,-0.6397719103842974,0.0092585,749.5800170898438,,,,,,,43,3.909090909,43,3.909090909,,,,,,,,,,,,,,,,,,,"Dustin Harris","25705",687957
"Luken Baker","STL",12,53,47,10,6,2,0,2,6,7,6,0,14,0,1,0,,0,0,0.218933,0.105475,0.266539,0.395721,0.303335,0.390522,0.306271,0.693857,0.171589,2.42694,0.265353,-0.109311,-0.0596658,5.83085,-0.315029,95.0209,-0.168976,-0.0702694,-0.48136740922927856,-1.193726159632206,0.00912899,724.469970703125,,,,,,,51.6,4.3,51.6,4.3,,,,,,,,,,,,,,,,,,,"Luken Baker","21497",663609
"Blaze Alexander","ARI",10,44,39,9,6,2,0,1,5,4,3,0,13,1,0,0,,1,0,0.234759,0.0756126,0.301975,0.250393,0.304004,0.345851,0.291939,0.649855,0.111092,4.176,0.331681,-0.0330423,-0.0181989,4.27385,-0.754598,82.2353,-0.0512412,-0.0286477,-0.9631624594330788,-0.39161067828536034,0.00910756,746.6199951171875,,,,,,,40.5,4.05,40.5,4.05,,,,,,,,,,,,,,,,,,,"Blaze Alexander","23789",677942
"Heriberto Hernandez","MIA",1,5,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.243755,0.0868751,0.219458,0.395862,0.315493,0.395395,0.31357,0.710888,0.151641,4.67319,0.289537,0,-2.60785e-9,0.568159,-0.000534825,95.8545,-2.60785e-9,0,-0.024066815897971328,-0.05277777835726738,0.00897075,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Heriberto Hernandez","sa3005630",681715
"Victor Mesa Jr.","MIA",6,25,23,5,4,1,0,1,2,2,1,0,6,0,0,0,,0,0,0.226911,0.0608257,0.228951,0.265672,0.276305,0.356112,0.279551,0.632417,0.129201,3.25172,0.273655,-0.0139516,-0.0340476,2.17392,-0.669543,72.8811,-0.0479992,0.0167604,-0.8352026119828224,0.10472337529063225,0.00885283,999,,,,,,,20.3,3.383333333,20.3,3.383333333,,,,,,,,,,,,,,,,,,,"Victor Mesa Jr.","sa3010700",683748
