Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Elvis Alvarado","ATH",1,1,0,4.39803,15,0,0,0,,15,67,14,8,7,2,8,,1,15,8.78211,4.50396,1.94986,1.08737,0.222764,0.114246,0.10851818323135376,0.238758,1.41314,0.290483,0.708989,,,4.36273,-0.00908393,-0.030676,999,,,,,,,53.00000000000001,3.5333333333333337,52,3.466666666666667,,,,,,,,,,,,,,,,,,,"Elvis Alvarado","21662",665660
"Mason Thompson","WSN",1,1,0,4.34586,21,0,0,0,,21,91,21,11,10,2,9,,1,17,7.41278,3.71978,1.9928,1.04479,0.188346,0.0945131,0.09383277595043182,0.255699,1.41301,0.297517,0.710242,,,4.32247,-0.00912101,-0.0296021,999,,,,,,,80.20000000000002,3.8190476190476197,83,3.9523809523809526,,,,,,,,,,,,,,,,,,,"Mason Thompson","21850",666168
"Austin Warren","NYM",1,0,0,4.31629,7,0,0,0,,7,32,7,4,3,1,3,,0,6,7.93648,4.07474,1.94773,1.14283,0.202705,0.104072,0.09863214194774628,0.245233,1.39824,0.287532,0.718536,,,4.44224,-0.00968365,-0.0242969,999,,,,,,,24.3,3.4714285714285715,25,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Austin Warren","24937",681810
"Caleb Boushley","TEX",1,1,0,4.62365,17,0,0,0,,17,73,18,10,9,3,4,,1,12,6.55943,2.34354,2.79894,1.36246,0.170427,0.06089,0.10953715071082115,0.269314,1.33295,0.296928,0.690929,,,4.46271,-0.00977727,-0.0630948,999,,,,,,,51.10000000000001,3.005882352941177,55,3.235294117647059,,,,,,,,,,,,,,,,,,,"Caleb Boushley","19736",676961
"Darren McCaughan","MIN",0,1,0,4.70057,13,0,0,0,,13,57,14,7,7,2,4,,1,11,7.57375,2.66667,2.84015,1.37983,0.195231,0.0687396,0.12649135291576385,0.26356,1.33774,0.300388,0.685635,,,4.45762,-0.0101562,-0.0295672,999,,,,,,,42.199999999999996,3.2461538461538457,46,3.5384615384615383,,,,,,,,,,,,,,,,,,,"Darren McCaughan","20038",670766
"Chris Roycroft","STL",1,2,0,4.42888,20,0,0,0,,20,90,20,11,10,2,10,,1,17,7.44522,4.30384,1.7299,0.788024,0.186076,0.107564,0.07851153612136841,0.255185,1.47522,0.303941,0.695182,,,4.17063,-0.0103962,-0.0483154,999,,,,,,,72.4,3.62,75,3.75,,,,,,,,,,,,,,,,,,,"Chris Roycroft","31261",688297
"Jesse Scholtens","CHW",0,0,0,5.42292,9,0,0,0,,9,41,10,6,6,1,3,,0,7,6.74801,3.34902,2.01492,1.37446,0.170172,0.0844559,0.0857158675789833,0.277415,1.48932,0.308665,0.65415,,,4.69283,-0.0104718,-0.0541635,999,,,,,,,33.30000000000001,3.700000000000001,37,4.111111111111111,,,,,,,,,,,,,,,,,,,"Jesse Scholtens","19205",669947
"Cody Poteet","BAL",0,0,0,4.4041,10,0,0,0,,10,43,10,5,5,1,4,,0,9,8.02562,3.20329,2.50543,1.29324,0.207932,0.0829925,0.12493911385536194,0.254203,1.34779,0.295897,0.711564,,,4.3154,-0.0105407,-0.0137217,750.1300048828125,,,,,,,41.7,4.17,43,4.3,,,,,,,,,,,,,,,,,,,"Cody Poteet","18769",547001
"Alek Jacob","SDP",1,0,0,4.24002,21,0,0,0,,21,91,20,11,10,3,8,,1,20,8.48604,3.35481,2.52951,1.27332,0.21808,0.0862141,0.13186562061309814,0.249909,1.34229,0.296244,0.725569,,,4.35638,-0.0106374,-0.0416655,999,,,,,,,79.5,3.7857142857142856,79,3.761904761904762,,,,,,,,,,,,,,,,,,,"Alek Jacob","29628",689690
"Tayler Saucedo","SEA",1,1,0,3.98887,23,0,0,0,,23,101,21,11,10,2,11,,1,21,8.06014,4.09627,1.96768,0.956196,0.206256,0.104822,0.10143392533063889,0.240149,1.37484,0.287655,0.728402,,,4.1977,-0.0107946,-0.029304,999,,,,,,,97.00000000000003,4.217391304347827,95,4.130434782608695,,,,,,,,,,,,,,,,,,,"Tayler Saucedo","17888",642048
